datetime,close,acc_close,div
2015-09-11,1376.15,,0.0415
2015-09-14,1340.99,,0.0414
2015-09-15,1291.04,,0.0418
2015-09-16,1355.42,,0.041
2015-09-17,1325.08,,0.0417
2015-09-18,1328.77,,0.0419
2015-09-21,1348.36,,0.0419
2015-09-22,1357.32,,0.0416
2015-09-23,1322.69,,0.0426
2015-09-24,1334.42,,0.0425
2015-09-25,1318.71,,0.0423
2015-09-28,1320.57,,0.0426
2015-09-29,1294.44,,0.0434
2015-09-30,1301.33,,0.0432
2015-10-08,1336.65,,0.0424
2015-10-09,1355.13,,0.042
2015-10-12,1401.66,,0.0411
2015-10-13,1399.12,,0.0414
2015-10-14,1382.07,,0.0416
2015-10-15,1413.79,,0.041
2015-10-16,1437.13,,0.0407
2015-10-19,1437.73,,0.0408
2015-10-20,1450.62,,0.0406
2015-10-21,1408.87,,0.04
2015-10-22,1423.83,,0.0404
2015-10-23,1444.06,,0.0404
2015-10-26,1457.37,,0.0403
2015-10-27,1451.93,,0.0405
2015-10-28,1436.16,,0.0407
2015-10-29,1444.45,,0.0408
2015-10-30,1438.18,,0.0409
2015-11-02,1420.08,,0.0413
2015-11-03,1411.5,,0.0417
2015-11-04,1471.77,,0.0404
2015-11-05,1505.93,,0.0394
2015-11-06,1525.67,,0.0391
2015-11-09,1549.61,,0.0379
2015-11-10,1542.44,,0.0382
2015-11-11,1542.13,,0.0385
2015-11-12,1519.09,,0.039
2015-11-13,1501.04,,0.0394
2015-11-16,1509.49,,0.0393
2015-11-17,1511.93,,0.0392
2015-11-18,1501.09,,0.0392
2015-11-19,1514.93,,0.039
2015-11-20,1513.44,,0.0391
2015-11-23,1506.74,,0.0393
2015-11-24,1503.84,,0.0394
2015-11-25,1512.64,,0.0392
2015-11-26,1511.53,,0.0393
2015-11-27,1437.49,,0.0409
2015-11-30,1455.24,,0.0405
2015-12-01,1459.47,,0.0407
2015-12-02,1512.77,,0.039
2015-12-03,1524.61,,0.0383
2015-12-04,1496.05,,0.0394
2015-12-07,1496.15,,0.0396
2015-12-08,1464.18,,0.0402
